,MAP_ID,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,RED,BLUE,G,BRN,P,Y,Pnk,O,Location
9606,41360,California-Lake,08/01/2006,925.1,551.8,381.0,25009,False,False,True,False,False,False,False,False,"(41.88422, -87.696234)"
9607,40170,Ashland-Lake,08/01/2006,1977.3,1034.0,628.0,52126,False,False,True,False,False,False,True,False,"(41.885269, -87.666969)"
9608,41160,Clinton-Lake,08/01/2006,3204.4,957.5,758.5,80566,False,False,True,False,False,False,True,False,"(41.885678, -87.641782)"
9609,41120,35-Bronzeville-IIT,08/01/2006,2528.7,1748.0,1344.0,70528,False,False,True,False,False,False,False,False,"(41.831677, -87.625826)"
9610,40300,Indiana,08/01/2006,655.7,407.3,294.8,17890,False,False,True,False,False,False,False,False,"(41.821732, -87.621371)"
9611,41270,43rd,08/01/2006,946.5,756.3,350.3,26195,False,False,True,False,False,False,False,False,"(41.816462, -87.619021)"
9612,41080,47th-South Elevated,08/01/2006,1364.5,1256.3,535.8,38551,False,False,True,False,False,False,False,False,"(41.809209, -87.618826)"
9613,40130,51st,08/01/2006,1041.3,1248.8,467.3,30815,False,False,True,False,False,False,False,False,"(41.80209, -87.618487)"
9614,40510,Garfield-South Elevated,08/01/2006,1496.4,1951.5,718.3,45096,False,False,True,False,False,False,False,False,"(41.795172, -87.618327)"
9615,41140,King Drive,08/01/2006,724.1,573.0,312.8,20197,False,False,True,False,False,False,False,False,"(41.78013, -87.615546)"
9616,40720,East 63rd-Cottage Grove,08/01/2006,1407.5,1138.3,596.8,39313,False,False,True,False,False,False,False,False,"(41.780309, -87.605857)"
9617,40940,Halsted/63rd,08/01/2006,623.8,552.3,307.0,17784,False,False,True,False,False,False,False,False,"(41.778943, -87.644244)"
9618,40290,Ashland/63rd,08/01/2006,1900.2,1512.5,845.0,53135,False,False,True,False,False,False,False,False,"(41.77886, -87.663766)"
9619,41290,Kimball,08/01/2006,3878.5,2564.5,1811.8,106711,False,False,False,True,False,False,False,False,"(41.967901, -87.713065)"
9620,41180,Kedzie-Brown,08/01/2006,672.0,501.0,355.5,18882,False,False,False,True,False,False,False,False,"(41.965996, -87.708821)"
9621,40870,Francisco,08/01/2006,1265.1,661.5,486.0,33687,False,False,False,True,False,False,False,False,"(41.966046, -87.701644)"
9622,41010,Rockwell,08/01/2006,611.1,298.0,226.3,16152,False,False,False,True,False,False,False,False,"(41.966115, -87.6941)"
9623,41480,Western-Brown,08/01/2006,3664.9,2518.3,1809.8,101605,False,False,False,True,False,False,False,False,"(41.966163, -87.688502)"
9624,40090,Damen-Brown,08/01/2006,1908.0,1165.0,827.3,51853,False,False,False,True,False,False,False,False,"(41.966286, -87.678639)"
9625,41500,Montrose-Brown,08/01/2006,2105.7,1293.3,857.5,57034,False,False,False,True,False,False,False,False,"(41.961756, -87.675047)"
9626,41460,Irving Park-Brown,08/01/2006,2343.3,1395.3,935.3,63218,False,False,False,True,False,False,False,False,"(41.954521, -87.674868)"
9627,41440,Addison-Brown,08/01/2006,1828.9,1047.5,683.5,48989,False,False,False,True,False,False,False,False,"(41.947028, -87.674642)"
9628,41310,Paulina,08/01/2006,2135.3,1437.3,1010.8,58904,False,False,False,True,False,False,False,False,"(41.943623, -87.670907)"
9629,40360,Southport,08/01/2006,2887.0,1812.3,1286.8,78798,False,False,False,True,False,False,False,False,"(41.943744, -87.663619)"
9630,41210,Wellington,08/01/2006,2570.8,1070.0,838.5,66762,False,False,False,True,False,False,False,False,"(41.936033, -87.653266)"
9631,40530,Diversey,08/01/2006,4543.8,2618.3,1915.3,122641,False,False,False,True,False,False,False,False,"(41.932732, -87.653131)"
9632,40660,Armitage,08/01/2006,3324.5,2032.8,1359.5,90033,False,False,False,True,False,False,False,False,"(41.918217, -87.652644)"
9633,40800,Sedgwick,08/01/2006,3013.8,2175.8,1878.3,85534,False,False,False,True,False,False,False,False,"(41.910409, -87.639302)"
9634,40710,Chicago/Franklin,08/01/2006,4448.6,2034.5,1296.3,115641,False,False,False,True,False,False,False,False,"(41.89681, -87.635924)"
9635,40460,Merchandise Mart,08/01/2006,5573.1,1191.3,630.5,135468,False,False,False,True,False,False,False,False,"(41.888969, -87.633924)"
9636,40930,Midway Airport,08/01/2006,9607.7,5464.3,4943.5,262607,False,False,False,False,False,False,False,True,"(41.78661, -87.737875)"
9637,40960,Pulaski-Orange,08/01/2006,4787.4,2216.8,1672.0,125665,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)"
9638,41150,Kedzie-Midway,08/01/2006,3104.2,1515.3,1062.3,81706,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)"
9639,40310,Western-Orange,08/01/2006,3465.1,1699.3,1187.5,91245,False,False,False,False,False,False,False,True,"(41.804546, -87.684019)"
9640,40120,35th/Archer,08/01/2006,2608.1,1237.0,884.0,68471,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)"
9641,41060,Ashland-Orange,08/01/2006,1416.1,759.0,577.5,37917,False,False,False,False,False,False,False,True,"(41.839234, -87.665317)"
9642,41130,Halsted-Orange,08/01/2006,2377.6,1155.0,845.8,62687,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)"
9643,40730,Washington/Wells,08/01/2006,7703.9,1158.5,786.3,184968,False,False,False,False,False,False,True,True,"(41.882695, -87.63378)"
9644,40040,Quincy/Wells,08/01/2006,7421.8,1648.3,1331.5,182621,False,False,False,False,False,False,True,True,"(41.878723, -87.63374)"
9645,40160,LaSalle/Van Buren,08/01/2006,3291.4,512.8,435.0,79493,False,False,False,True,False,False,False,False,"(41.8768, -87.631739)"
9646,40850,Library,08/01/2006,2906.5,1592.8,1386.0,78765,False,False,False,True,False,False,False,False,"(41.876862, -87.628196)"
9647,40680,Adams/Wabash,08/01/2006,7282.7,4225.0,3459.5,198239,False,False,True,False,False,False,True,True,"(41.879507, -87.626037)"
9648,40640,Madison/Wabash,08/01/2006,5969.9,3259.8,2091.5,158713,,,,,,,,,
9649,40200,Randolph/Wabash,08/01/2006,6831.9,3643.3,2370.3,181187,,,,,,,,,
9650,40260,State/Lake,08/01/2006,9007.1,5405.5,4411.0,246429,False,False,True,True,False,False,False,False,"(41.88574, -87.627835)"
9651,40380,Clark/Lake,08/01/2006,17083.3,4518.3,3879.3,426507,False,False,True,False,False,False,True,True,"(41.885737, -87.630886)"
9652,40900,Howard,09/01/2006,6428.8,4598.6,3242.2,167780,True,False,False,False,False,False,False,False,"(42.019063, -87.672892)"
9653,41190,Jarvis,09/01/2006,1408.9,1063.0,772.4,37354,True,False,False,False,False,False,False,False,"(42.015876, -87.669092)"
9654,40100,Morse,09/01/2006,4220.0,2938.6,2191.2,110049,True,False,False,False,False,False,False,False,"(42.008362, -87.665909)"
9655,41300,Loyola,09/01/2006,5898.9,4929.0,3238.2,158813,True,False,False,False,False,False,False,False,"(42.001073, -87.661061)"
9656,40760,Granville,09/01/2006,3768.3,3382.8,2275.6,103658,True,False,False,False,False,False,False,False,"(41.993664, -87.659202)"
